id,cntry_name,area,capname,caplong,caplat,gwcode,gwsdate,gwsyear,gwsmonth,gwsday,gwedate,gweyear,gwemonth,gweday,en_cntry_name,fr_cntry_name,de_cntry_name,fi_cntry_name
0,Aden,46416.1,Aden,45.0333,12.8,681,31.03.1937 23:00:00,1937,4,1,02.04.1962 23:00:00,1962,4,3,Aden,Aden,Aden,Aden
1,Afghanistan,808993,Kabul,69.1833,34.5167,700,31.12.1885 23:00:00,1886,1,1,29.12.1888 23:00:00,1888,12,30,Afghanistan,Afghanistan,Afghanistan,Afganistan
2,Alaska,1506240,Juneau,-134.412,58.3043,3,31.12.1885 23:00:00,1886,1,1,01.01.1959 23:00:00,1959,1,2,Alaska,Alaska,Alaska,Alaska
3,Albania,28656.5,Vlore,19.4982,40.4774,339,31.12.1912 23:00:00,1913,1,1,05.03.1914 23:00:00,1914,3,6,Albania,Albanie,Albanien,Albania
4,Algeria,655481,Algiers,3.05056,36.7631,615,31.12.1885 23:00:00,1886,1,1,05.02.1901 23:00:00,1901,2,6,Algeria,Algérie,Algerien,Algeria
5,Angola,409489,Luanda,13.2344,-8.83833,540,31.12.1885 23:00:00,1886,1,1,18.08.1890 23:00:00,1890,8,19,Angola,Angola,Angola,Angola
6,Argentina,2778350,Buenos Aires,-58.6725,-34.5875,160,31.12.1885 23:00:00,1886,1,1,22.03.1899 23:00:00,1899,3,23,Argentina,Argentine,Argentinien,Argentiina
7,Armenia,29663.6,Yerevan,44.5136,40.1811,371,25.12.1991 23:00:00,1991,12,26,30.12.2019 23:00:00,2019,12,31,Armenia,Arménie,Armenien,Armenia
8,Australia,7686690,Melbourne,144.975,-37.82,900,31.12.1900 23:00:00,1901,1,1,07.05.1927 23:00:00,1927,5,8,Australia,Australie,Australien,Australia
9,Austria,211936,Vienna,16.3667,48.2,305,02.11.1918 23:00:00,1918,11,3,08.09.1919 23:00:00,1919,9,9,Austria,Autriche,Österreich,Itävalta
10,Austria-Hungary,624184,Vienna,16.3667,48.2,300,31.12.1885 23:00:00,1886,1,1,05.10.1908 23:00:00,1908,10,6,Austria-Hungary,Autriche-Hongrie,Österreich-Ungarn,Itävalta-Unkari
11,Azerbaijan,85950.8,Baku,49.8822,40.3953,373,25.12.1991 23:00:00,1991,12,26,30.12.2019 23:00:00,2019,12,31,Azerbaijan,Azerbaïdjan,Aserbaidschan,Azerbaidžan
12,Bahamas,12048.7,Nassau,-77.343,25.0774,31,31.12.1885 23:00:00,1886,1,1,08.07.1973 23:00:00,1973,7,9,Bahamas,Bahamas,Bahamas,Bahama
13,Bahrain,628.767,Manama,50.5831,26.2361,692,14.08.1971 23:00:00,1971,8,15,30.12.2019 23:00:00,2019,12,31,Bahrain,Bahreïn,Bahrain,Bahrain
14,Bangladesh,137848,Dhaka,90.4086,23.723,771,15.12.1971 23:00:00,1971,12,16,30.12.2019 23:00:00,2019,12,31,Bangladesh,Bangladesh,Bangladesch,Bangladesh
15,Barbados,442.049,Bridgetown,-59.6167,13.1,53,31.12.1885 23:00:00,1886,1,1,28.11.1966 23:00:00,1966,11,29,Barbados,Barbade,Barbados,Barbados
16,Belarus (Byelorussia),207712,Minsk,27.5667,53.9,370,24.08.1991 22:00:00,1991,8,25,30.12.2019 23:00:00,2019,12,31,Belarus (Byelorussia),Bélarus (Biélorussie),Belarus (Weißrussland),Valko-Venäjä (Valko-Venäjä)
17,Belgium,30641.2,Brussels,4.33333,50.8333,211,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Belgium,Belgique,Belgien,Belgia
